"spp","branch","age","temp","duration","treatment","EC.control","survival.control","EC.treatment","survival.treatment","survival_final","groupVar","season"
"PSME",1,"n","65",2,"65_2_n",11.9513038800399,88.0486961199602,30.3270370871225,69.6729629128775,59.9363410341637,"65_n","autumn"
"PSME",2,"n","65",2,"65_2_n",7.62862084270021,92.3713791572998,17.9958103803585,82.0041896196415,78.4547035923294,"65_n","autumn"
"PSME",3,"n","65",2,"65_2_n",10.8530401112762,89.1469598887238,35.2584530234599,64.7415469765401,47.4456722612894,"65_n","autumn"
"PSME",4,"n","65",5,"65_5_n",8.05041043441015,91.9495895655898,45.288939918796,54.711060081204,22.2551570972779,"65_n","autumn"
"PSME",5,"n","65",5,"65_5_n",10.3880670941898,89.6119329058101,42.3063794401032,57.6936205598968,31.6241185644607,"65_n","autumn"
"PSME",6,"n","65",5,"65_5_n",9.67084700898425,90.3291529910157,45.8570062792984,54.1429937207016,23.0969764457816,"65_n","autumn"
"PSME",7,"n","65",10,"65_10_n",7.35160801199256,92.6483919880074,51.4345378232419,48.5654621767581,8.65991169744273,"65_n","autumn"
"PSME",8,"n","65",10,"65_10_n",9.31633340067929,90.6836665993207,52.1189828875753,47.8810171124247,9.39118644559392,"65_n","autumn"
"PSME",9,"n","65",10,"65_10_n",6.93130910900946,93.0686908909905,48.7188584936979,51.2811415063021,13.8069675624847,"65_n","autumn"
"PSME",10,"n","65",30,"65_30_n",9.70960813972733,90.2903918602727,54.6366582604059,45.3633417395941,4.47979875293322,"65_n","autumn"
"PSME",11,"n","65",30,"65_30_n",9.60243105033108,90.3975689496689,58.0703131987194,41.9296868012806,-2.92625108101323,"65_n","autumn"
"PSME",12,"n","65",30,"65_30_n",7.77133894384132,92.2286610561587,56.5614875391121,43.4385124608879,-1.55354767192001,"65_n","autumn"
"PSME",13,"n","65",50,"65_50_n",7.31772552097434,92.6822744790257,51.8848292174672,48.1151707825328,7.69045914606087,"65_n","autumn"
"PSME",14,"n","65",50,"65_50_n",6.66282479068144,93.3371752093186,54.3440659183155,45.6559340816845,1.9332549216291,"65_n","autumn"
"PSME",15,"n","65",50,"65_50_n",7.68022172759035,92.3197782724096,53.7456432567367,46.2543567432633,4.21242922770926,"65_n","autumn"
"PSME",1004,"n","65",0,"65_0_n",0,100,0,100,100,"65_n","autumn"
"PSME",1,"o","65",2,"65_2_o",15.7859769159019,84.2140230840981,22.1955453838969,77.8044546161031,85.7482439369529,"65_o","autumn"
"PSME",2,"o","65",2,"65_2_o",5.87112240518874,94.1288775948113,20.1251178896582,79.8748821103418,71.6444718467916,"65_o","autumn"
"PSME",3,"o","65",2,"65_2_o",11.2952153725051,88.7047846274949,24.1060740907927,75.8939259092073,72.9569793309284,"65_o","autumn"
"PSME",4,"o","65",5,"65_5_o",12.2450800556395,87.7549199443605,52.5659629867476,47.4340370132524,13.9635339636789,"65_o","autumn"
"PSME",5,"o","65",5,"65_5_o",11.2709079554243,88.7290920445758,45.1012001980425,54.8987998019575,28.6056710105588,"65_o","autumn"
"PSME",6,"o","65",5,"65_5_o",10.1905054739603,89.8094945260397,43.7300365585086,56.2699634414914,30.0707712292415,"65_o","autumn"
"PSME",7,"o","65",10,"65_10_o",10.0026336272302,89.9973663727698,58.0699129734756,41.9300870265244,-0.0100731222562479,"65_o","autumn"
"PSME",8,"o","65",10,"65_10_o",11.0096831533202,88.9903168466798,61.3997879210484,38.6002120789516,-6.02945092626928,"65_o","autumn"
"PSME",9,"o","65",10,"65_10_o",8.70485614450548,91.2951438554945,54.5157621698248,45.4842378301752,6.03952404852554,"65_o","autumn"
"PSME",10,"o","65",30,"65_30_o",10.4674308758227,89.5325691241773,49.3111499479223,50.6888500520777,18.7611509326867,"65_o","autumn"
"PSME",11,"o","65",30,"65_30_o",12.7436087492044,87.2563912507956,56.8069682477815,43.1930317522185,5.44067520551568,"65_o","autumn"
"PSME",12,"o","65",30,"65_30_o",9.96766496065337,90.0323350393466,53.6209540466497,46.3790459533503,9.20907063775472,"65_o","autumn"
"PSME",13,"o","65",50,"65_50_o",9.31285256588195,90.687147434118,53.2518505001237,46.7481494998763,9.27470039830009,"65_o","autumn"
"PSME",14,"o","65",50,"65_50_o",10.1324902108893,89.8675097891107,64.1597542843013,35.8402457156987,-12.5730083314224,"65_o","autumn"
"PSME",15,"o","65",50,"65_50_o",10.0725730061609,89.9274269938391,55.6879506819118,44.3120493180882,5.01760600520637,"65_o","autumn"
"PSME",1004,"o","65",0,"65_0_o",0,100,0,100,100,"65_o","autumn"
"PSME",16,"n","60",5,"60_5_n",7.16523881688511,92.8347611831149,13.4161426421999,86.5838573578001,89.1180502408083,"60_n","autumn"
"PSME",17,"n","60",5,"60_5_n",10.0944508635117,89.9055491364883,15.861453137211,84.138546862789,89.6333568619777,"60_n","autumn"
"PSME",18,"n","60",5,"60_5_n",9.52839580992591,90.4716041900741,14.8744279261738,85.1255720738262,90.4502105529781,"60_n","autumn"
"PSME",19,"n","60",10,"60_10_n",11.8625638144264,88.1374361855736,14.6393918831838,85.3606081168162,94.90829655289,"60_n","autumn"
"PSME",20,"n","60",10,"60_10_n",8.31220142442787,91.6877985755721,12.3070884800491,87.6929115199509,92.958462703974,"60_n","autumn"
"PSME",21,"n","60",10,"60_10_n",8.40704599735656,91.5929540026434,16.328611898017,83.671388101983,86.0226932103855,"60_n","autumn"
"PSME",22,"n","60",20,"60_20_n",10.9896632161073,89.0103367838927,19.2666136827962,80.7333863172038,84.9718875555785,"60_n","autumn"
"PSME",23,"n","60",20,"60_20_n",10.4593209328266,89.5406790671734,33.2953027452332,66.7046972547668,58.7832419630227,"60_n","autumn"
"PSME",24,"n","60",20,"60_20_n",12.962291515591,87.037708484409,27.4497460220578,72.5502539779422,73.0995738075284,"60_n","autumn"
"PSME",25,"n","60",65,"60_65_n",10.4860726041283,89.5139273958717,70.9705275278996,29.0294724721004,-9.20126847142608,"60_n","autumn"
"PSME",26,"n","60",65,"60_65_n",10.3766123209673,89.6233876790327,61.7798494814994,38.2201505185006,7.30770436941726,"60_n","autumn"
"PSME",27,"n","60",65,"60_65_n",7.75114155251142,92.2488584474886,63.7506190891636,36.2493809108364,1.89356410200883,"60_n","autumn"
"PSME",28,"n","60",110,"60_110_n",13.5872371991284,86.4127628008716,64.5322599349589,35.4677400650411,4.72073600056471,"60_n","autumn"
"PSME",29,"n","60",110,"60_110_n",9.68194166049014,90.3180583395099,56.4652455313229,43.5347544686771,16.2874020309161,"60_n","autumn"
"PSME",30,"n","60",110,"60_110_n",8.46956054352816,91.5304394564718,56.6883386401799,43.3116613598201,14.8616601758145,"60_n","autumn"
"PSME",1003,"n","60",0,"60_0_n",0,100,0,100,100,"60_n","autumn"
"PSME",16,"o","60",5,"60_5_o",7.50329493379429,92.4967050662057,13.8529160249287,86.1470839750713,89.1606496219387,"60_o","autumn"
"PSME",17,"o","60",5,"60_5_o",9.92655926308662,90.0734407369134,12.0984357411171,87.9015642588829,96.1926738948909,"60_o","autumn"
"PSME",18,"o","60",5,"60_5_o",9.40663373710222,90.5933662628978,10.5427619903791,89.4572380096209,98.0197835217895,"60_o","autumn"
"PSME",19,"o","60",10,"60_10_o",12.2126302335271,87.7873697664729,11.1952000658369,88.8047999341632,101.830013447662,"60_o","autumn"
"PSME",20,"o","60",10,"60_10_o",10.0755125662724,89.9244874337276,14.4834859084867,85.5165140915133,92.259969074475,"60_o","autumn"
"PSME",21,"o","60",10,"60_10_o",9.86469624430408,90.1353037556959,10.8760492041703,89.1239507958297,98.2283026697471,"60_o","autumn"
"PSME",22,"o","60",20,"60_20_o",13.318677086568,86.681322913432,16.6818965370699,83.3181034629301,93.8735148839901,"60_o","autumn"
"PSME",23,"o","60",20,"60_20_o",7.50226924261665,92.4977307573834,35.3037002559926,64.6962997440074,52.5410877548575,"60_o","autumn"
"PSME",24,"o","60",20,"60_20_o",12.9232236528374,87.0767763471626,28.6076071954787,71.3923928045213,71.5588718800518,"60_o","autumn"
"PSME",25,"o","60",65,"60_65_o",8.5722574560183,91.4277425439817,55.1064343026768,44.8935656973232,19.6333719691288,"60_o","autumn"
"PSME",26,"o","60",65,"60_65_o",9.36090496843411,90.6390950315659,64.1966877240908,35.8033122759092,4.47210807128989,"60_o","autumn"
"PSME",27,"o","60",65,"60_65_o",10.6675082846773,89.3324917153227,53.118832852351,46.881167147649,24.9650658984913,"60_o","autumn"
"PSME",28,"o","60",110,"60_110_o",12.3363860319702,87.6636139680298,71.5419631038879,28.4580368961121,-6.64118330172767,"60_o","autumn"
"PSME",29,"o","60",110,"60_110_o",10.2824542650072,89.7175457349929,63.7610695819704,36.2389304180296,5.87944559343273,"60_o","autumn"
"PSME",30,"o","60",110,"60_110_o",9.05855540054483,90.9414445994552,66.2142217152586,33.7857782847414,0.761737708294951,"60_o","autumn"
"PSME",1003,"o","60",0,"60_0_o",0,100,0,100,100,"60_o","autumn"
"PSME",31,"n","55",160,"55_160_n",10.4413628935289,89.5586371064711,54.5214726398763,45.4785273601237,22.3945303354075,"55_n","autumn"
"PSME",32,"n","55",160,"55_160_n",6.58449921093576,93.4155007890642,34.8631869581822,65.1368130418178,52.2693392470104,"55_n","autumn"
"PSME",33,"n","55",160,"55_160_n",8.16117180888174,91.8388281911183,34.213306206248,65.786693793752,55.272552298332,"55_n","autumn"
"PSME",34,"n","55",50,"55_50_n",10.0243651993807,89.9756348006193,12.7095774860802,87.2904225139198,95.294445078468,"55_n","autumn"
"PSME",35,"n","55",50,"55_50_n",11.0763177120403,88.9236822879597,18.0462995893555,81.9537004106445,87.6413409546649,"55_n","autumn"
"PSME",36,"n","55",50,"55_50_n",11.2829943747296,88.7170056252704,11.3630876704702,88.6369123295298,99.8576536190494,"55_n","autumn"
"PSME",37,"n","55",25,"55_25_n",10.2871024392172,89.7128975607827,10.4985950454794,89.5014049545206,99.6282958193789,"55_n","autumn"
"PSME",38,"n","55",25,"55_25_n",8.96031577723017,91.0396842227698,12.6453930142308,87.3546069857692,93.617762042277,"55_n","autumn"
"PSME",39,"n","55",25,"55_25_n",12.3377661913628,87.6622338086372,12.2023091929218,87.7976908070782,100.243638577506,"55_n","autumn"
"PSME",40,"n","55",10,"55_10_n",8.69239583889294,91.3076041611071,11.3589848546869,88.6410151453131,95.3952476432657,"55_n","autumn"
"PSME",41,"n","55",10,"55_10_n",6.94923011195092,93.0507698880491,8.76884789928268,91.2311521007173,96.9166889229339,"55_n","autumn"
"PSME",42,"n","55",10,"55_10_n",9.54943109869435,90.4505689013056,9.24401492416288,90.7559850758371,100.532399784184,"55_n","autumn"
