"spp","branch","age","temp","duration","treatment","EC.control","survival.control","EC.treatment","survival.treatment","survival_final","groupVar","season"
"PIPO",1,"n","45",6000,"45_6000_n",26.5185733924163,73.4814266075837,46.4817287009063,53.5182712990937,51.9806252219001,"45_n","spring"
"PIPO",2,"n","45",6000,"45_6000_n",28.5360335817922,71.4639664182078,51.5186285460911,48.4813714539089,43.1570195263777,"45_n","spring"
"PIPO",3,"n","45",6000,"45_6000_n",21.6015522700759,78.398447729924,55.1208611807738,44.8791388192262,24.4294666917814,"45_n","spring"
"PIPO",4,"n","45",4750,"45_4750_n",22.1538129830096,77.8461870169904,36.1408058217073,63.8591941782927,68.2420908286758,"45_n","spring"
"PIPO",5,"n","45",4750,"45_4750_n",16.9128078145073,83.0871921854927,45.6191283455194,54.3808716544806,38.9327529762571,"45_n","spring"
"PIPO",6,"n","45",4750,"45_4750_n",23.2257729222768,76.7742270777232,46.5432218915589,53.4567781084411,46.3177788206685,"45_n","spring"
"PIPO",7,"n","45",3500,"45_3500_n",27.870895594239,72.129104405761,38.6240153460464,61.3759846539536,73.6495013828191,"45_n","spring"
"PIPO",8,"n","45",3500,"45_3500_n",26.6860138256622,73.3139861743378,43.8013989555146,56.1986010444854,58.7366258524605,"45_n","spring"
"PIPO",9,"n","45",3500,"45_3500_n",38.9602690975584,61.0397309024416,47.3219608741557,52.6780391258443,75.7871205663733,"45_n","spring"
"PIPO",28,"n","45",2250,"45_2250_n",22.7307987680632,77.2692012319368,32.1012633841307,67.8987366158693,78.5651920202314,"45_n","spring"
"PIPO",29,"n","45",2250,"45_2250_n",14.8870871180329,85.1129128819671,28.1315838934896,71.8684161065104,72.4954272570638,"45_n","spring"
"PIPO",30,"n","45",2250,"45_2250_n",18.6834406223287,81.3165593776713,32.8910714953256,67.1089285046744,69.1178473386673,"45_n","spring"
"PIPO",31,"n","45",1000,"45_1000_n",21.1570585198804,78.8429414801196,29.5476165295704,70.4523834704296,81.1898213314766,"45_n","spring"
"PIPO",32,"n","45",1000,"45_1000_n",12.3845471772612,87.6154528227388,19.1467363993431,80.8532636006569,86.358205459093,"45_n","spring"
"PIPO",33,"n","45",1000,"45_1000_n",21.4449064449064,78.5550935550935,24.9493525772098,75.0506474227902,92.1148504687321,"45_n","spring"
"PIPO",52,"n","45",10200,"45_10200_n",7.78735582720342,92.2126441727966,68.0840664711633,31.9159335288367,-15.5761012725149,"45_n","spring"
"PIPO",53,"n","45",10200,"45_10200_n",6.50528223829334,93.4947177617067,54.8725909610811,45.1274090389189,8.56136317656808,"45_n","spring"
"PIPO",54,"n","45",10200,"45_10200_n",6.51260750936545,93.4873924906345,55.6941641508053,44.3058358491947,7.01473809594683,"45_n","spring"
"PIPO",55,"n","45",500,"45_500_n",4.37558548885914,95.6244145111409,14.1886811386291,85.8113188613709,81.8614678994273,"45_n","spring"
"PIPO",56,"n","45",500,"45_500_n",5.41527193933743,94.5847280606626,7.97227944648591,92.0277205535141,95.221672872325,"45_n","spring"
"PIPO",57,"n","45",500,"45_500_n",16.7849709066446,83.2150290933554,17.3071884248544,82.6928115751456,98.8907879928349,"45_n","spring"
"PIPO",1000,"n","45",0,"45_0_n",0,100,0,100,100,"45_n","spring"
"PIPO",1,"o","45",6000,"45_6000_o",9.95953163481953,90.0404683651805,52.562969468155,47.437030531845,23.9343726612754,"45_o","spring"
"PIPO",2,"o","45",6000,"45_6000_o",10.78091466954,89.21908533046,36.5188740337972,63.4811259662028,53.6235078956583,"45_o","spring"
"PIPO",3,"o","45",6000,"45_6000_o",10.5802687249452,89.4197312750548,40.0033599886418,59.9966400113582,47.1023364644188,"45_o","spring"
"PIPO",4,"o","45",4750,"45_4750_o",10.5691624215409,89.4308375784591,42.2573276463916,57.7426723536084,43.0371976140519,"45_o","spring"
"PIPO",5,"o","45",4750,"45_4750_o",8.57907170481799,91.420928295182,42.5696087097558,57.4303912902442,40.2285281248983,"45_o","spring"
