"spp","branch","age","temp","duration","treatment","EC.control","survival.control","EC.treatment","survival.treatment","survival_final"
"PIPO",1,"n","65",5,"65_5_n",7.1063702679058,92.8936297320942,11.4776284777173,88.5223715222828,95.2943401798184
"PIPO",1,"o","65",5,"65_5_o",6.62654109673197,93.373458903268,8.4292057885232,91.5707942114768,98.0694035404014
"PIPO",2,"n","65",5,"65_5_n",7.10130406423374,92.8986959357663,13.5609260848104,86.4390739151896,93.0465955894116
"PIPO",2,"o","65",5,"65_5_o",9.74909767484334,90.2509023251567,11.3312791705095,88.6687208294905,98.2469078370365
"PIPO",3,"n","65",5,"65_5_n",7.156063920593,92.843936079407,7.30960854092527,92.6903914590747,99.8346207336568
"PIPO",3,"o","65",5,"65_5_o",7.20064724919094,92.7993527508091,8.68512342173773,91.3148765782623,98.4003377948842
"PIPO",4,"n","65",10,"65_10_n",6.69191394790077,93.3080860520992,6.98390491850524,93.0160950814948,99.6870678812966
"PIPO",4,"o","65",10,"65_10_o",10.7854788366734,89.2145211633266,8.19657687212524,91.8034231278748,102.901884055185
"PIPO",5,"n","65",10,"65_10_n",6.5345988136986,93.4654011863014,8.8178599048762,91.1821400951238,97.5571055575673
"PIPO",5,"o","65",10,"65_10_o",7.53635435110155,92.4636456488984,10.0056497175141,89.9943502824859,97.329441912999
"PIPO",6,"n","65",10,"65_10_n",9.0204032748111,90.9795967251889,17.9483040210243,82.0516959789757,90.1869198506335
"PIPO",6,"o","65",10,"65_10_o",7.44523939774005,92.5547606022599,9.40093111232101,90.599068887679,97.8869896028523
"PIPO",7,"n","65",30,"65_30_n",5.7629689876204,94.2370310123796,29.3692842236332,70.6307157763668,74.9500647649736
"PIPO",7,"o","65",30,"65_30_o",5.58936190433555,94.4106380956645,16.609179520964,83.390820479036,88.3277797514066
"PIPO",8,"n","65",30,"65_30_n",5.22818791946309,94.7718120805369,26.5437001738682,73.4562998261318,77.5085948168942
"PIPO",8,"o","65",30,"65_30_o",6.20558348160219,93.7944165183978,21.2585291887794,78.7414708112206,83.9511281524689
