"pT","cT","temperature","nrmse","jackVar"
0.000227192405924336,0.000628029144183424,45,0.357460032149773,"PIPO_spring_n_1"
0.00120605821948555,0.00585702081805667,50,0.358007973705222,"PIPO_spring_n_1"
0.00894000223508263,0.00585702081805667,55,0.260181855779622,"PIPO_spring_n_1"
0.0188980023291363,0.739072203352575,60,0.345072321385585,"PIPO_spring_n_1"
0.0892405373447419,6.89261210434967,65,0.382599923819215,"PIPO_spring_n_1"
0.000227192405924336,0.000628029144183424,45,0.357460032149773,"PIPO_spring_n_2"
0.00120605821948555,0.00403701725859655,50,0.330729479718302,"PIPO_spring_n_2"
0.00894000223508263,0.00585702081805667,55,0.258074366667031,"PIPO_spring_n_2"
0.0174312050715579,3.27454916287772,60,0.366112851596453,"PIPO_spring_n_2"
0.0892405373447419,6.89261210434967,65,0.382599923819215,"PIPO_spring_n_2"
0.000227192405924336,0.000628029144183424,45,0.357460032149773,"PIPO_spring_n_3"
0.00132405331963355,0.00585702081805667,50,0.303655648608589,"PIPO_spring_n_3"
0.00930135996193225,0.00585702081805667,55,0.257005548178978,"PIPO_spring_n_3"
0.0188980023291363,0.509413801481639,60,0.349739046001921,"PIPO_spring_n_3"
0.0892405373447419,6.89261210434967,65,0.382599923819215,"PIPO_spring_n_3"
0.000227192405924336,0.000628029144183424,45,0.357460032149773,"PIPO_spring_n_4"
0.00120605821948555,0.00403701725859655,50,0.354436360563035,"PIPO_spring_n_4"
0.00779074680570552,0.00849753435908643,55,0.257346198113246,"PIPO_spring_n_4"
0.0188980023291363,0.509413801481639,60,0.349739046001921,"PIPO_spring_n_4"
0.0921448121280209,1.55567614393047,65,0.385403057627016,"PIPO_spring_n_4"
0.000227192405924336,0.000628029144183424,45,0.357460032149773,"PIPO_spring_n_5"
0.00120605821948555,0.00585702081805667,50,0.358194723120397,"PIPO_spring_n_5"
0.00894000223508263,0.00585702081805667,55,0.229796899634231,"PIPO_spring_n_5"
0.0188980023291363,0.509413801481639,60,0.349739046001921,"PIPO_spring_n_5"
0.0892405373447419,6.89261210434967,65,0.382599923819215,"PIPO_spring_n_5"
0.000227192405924336,0.000628029144183424,45,0.357460032149773,"PIPO_spring_n_6"
0.00120605821948555,0.00585702081805667,50,0.339362907377815,"PIPO_spring_n_6"
0.00894000223508263,0.00585702081805667,55,0.260181855779622,"PIPO_spring_n_6"
0.0188980023291363,0.509413801481639,60,0.349739046001921,"PIPO_spring_n_6"
0.100814738920607,0.739072203352575,65,0.400866104795459,"PIPO_spring_n_6"
0.000227192405924336,0.000628029144183424,45,0.357460032149773,"PIPO_spring_n_7"
0.00120605821948555,0.00403701725859655,50,0.354436360563035,"PIPO_spring_n_7"
0.00894000223508263,0.00585702081805667,55,0.270840110149616,"PIPO_spring_n_7"
0.0188980023291363,0.509413801481639,60,0.349739046001921,"PIPO_spring_n_7"
