"jackVar","temperature","pT","pT.min","pT.max","cT","cT.min","cT.max","nrmse"
"PIPO_spring_n_1",45,0.000227192405924336,0.000108384132146296,0.000721292915942448,0.000628029144183424,1.27776008767264e-05,0.0108889254665569,0.357460032149773
"PIPO_spring_n_1",50,0.00120605821948555,0.000622086927853171,0.00237631039254311,0.00585702081805667,0.000357930044568323,0.0422668444238081,0.358007973705222
"PIPO_spring_n_1",55,0.00894000223508263,0.00305910078628342,0.00913770911030284,0.00585702081805667,0.00578239850348335,0.284481217320276,0.260181855779622
"PIPO_spring_n_1",60,0.0188980023291363,0.011763266790346,0.0449345129636838,0.739072203352575,0.0389190105797273,4.59582477152984,0.345072321385585
"PIPO_spring_n_1",65,0.0892405373447419,0.0387542598940301,0.257908354023866,6.89261210434967,0.151069430161323,128.739642220169,0.382599923819215
"PIPO_spring_n_2",45,0.000227192405924336,0.000103585078309964,0.000754710118418415,0.000628029144183424,4.14088159787457e-06,0.0249487391005924,0.357460032149773
"PIPO_spring_n_2",50,0.00120605821948555,0.000597632893731914,0.0024338961995642,0.00403701725859655,0.00018605631736253,0.0875944906210892,0.330729479718302
"PIPO_spring_n_2",55,0.00894000223508263,0.0029323815028554,0.00922943782581371,0.00585702081805667,0.0041102785910745,0.625503510083293,0.258074366667031
"PIPO_spring_n_2",60,0.0174312050715579,0.011119715280798,0.0452857147690914,3.27454916287772,0.0293510889544268,13.8183627547983,0.366112851596453
"PIPO_spring_n_2",65,0.0892405373447419,0.0358604344922344,0.261275399929555,6.89261210434967,0.103051047019697,620.880753377964,0.382599923819215
"PIPO_spring_n_3",45,0.000227192405924336,0.000107106468591758,0.000799051851333907,0.000628029144183424,1.43558538258065e-05,0.0096918194679563,0.357460032149773
"PIPO_spring_n_3",50,0.00132405331963355,0.00061931707030212,0.0025647618373796,0.00585702081805667,0.000374456862209176,0.0375035996289291,0.303655648608589
"PIPO_spring_n_3",55,0.00930135996193225,0.00303963099989955,0.00969859132694869,0.00585702081805667,0.00574099270396726,0.246904017478939,0.257005548178978
"PIPO_spring_n_3",60,0.0188980023291363,0.0114942987778038,0.0476010435791297,0.509413801481639,0.0377956829998101,3.7854137711996,0.349739046001921
"PIPO_spring_n_3",65,0.0892405373447419,0.036893899693164,0.275241441906886,6.89261210434967,0.14625470146378,98.7384087443624,0.382599923819215
"PIPO_spring_n_4",45,0.000227192405924336,0.000126870120529749,0.000575772766263919,0.000628029144183424,4.49413871737108e-05,0.00483868403862532,0.357460032149773
"PIPO_spring_n_4",50,0.00120605821948555,0.000692913627425141,0.00201916460821117,0.00403701725859655,0.0006904412085465,0.0188809921240931,0.354436360563035
"PIPO_spring_n_4",55,0.00779074680570552,0.00334516291133398,0.00801076351811517,0.00849753435908643,0.00724191546040082,0.107913515856726,0.257346198113246
"PIPO_spring_n_4",60,0.0188980023291363,0.0132714831189552,0.0386733756584422,0.509413801481639,0.0413908630294802,1.13188574087898,0.349739046001921
"PIPO_spring_n_4",65,0.0921448121280209,0.0465414666729531,0.21121844056247,1.55567614393047,0.161510971295216,17.3893288128451,0.385403057627016
"PIPO_spring_n_5",45,0.000227192405924336,0.000108384132146296,0.000721292915942448,0.000628029144183424,1.43558538258065e-05,0.0096918194679563,0.357460032149773
"PIPO_spring_n_5",50,0.00120605821948555,0.000622086927853171,0.00237631039254311,0.00585702081805667,0.000374456862209176,0.0375035996289291,0.358194723120397
"PIPO_spring_n_5",55,0.00894000223508263,0.00305910078628342,0.00913770911030284,0.00585702081805667,0.00574099270396726,0.246904017478939,0.229796899634231
"PIPO_spring_n_5",60,0.0188980023291363,0.011763266790346,0.0449345129636838,0.509413801481639,0.0377956829998101,3.7854137711996,0.349739046001921
"PIPO_spring_n_5",65,0.0892405373447419,0.0387542598940301,0.257908354023866,6.89261210434967,0.14625470146378,98.7384087443624,0.382599923819215
"PIPO_spring_n_6",45,0.000227192405924336,0.000108803579927308,0.000684304577377189,0.000628029144183424,2.90292695246791e-05,0.0117078466037937,0.357460032149773
"PIPO_spring_n_6",50,0.00120605821948555,0.000634639604202816,0.00232930882651041,0.00585702081805667,0.000449266662414525,0.0312586742206137,0.339362907377815
"PIPO_spring_n_6",55,0.00894000223508263,0.0031861789067264,0.00921182539056592,0.00585702081805667,0.00426220603499977,0.1361450713789,0.260181855779622
"PIPO_spring_n_6",60,0.0188980023291363,0.0126005291431615,0.0462475451539708,0.509413801481639,0.0185637542005525,1.29161229490742,0.349739046001921
"PIPO_spring_n_6",65,0.100814738920607,0.0428910235619977,0.269756967293513,0.739072203352575,0.0495632001771011,19.9894228951679,0.400866104795459
"PIPO_spring_n_7",45,0.000227192405924336,0.000108384132146296,0.000721292915942448,0.000628029144183424,1.35195402782377e-05,0.00764151535523098,0.357460032149773
"PIPO_spring_n_7",50,0.00120605821948555,0.000622086927853171,0.00237631039254311,0.00403701725859655,0.000356612591206514,0.0314998421445953,0.354436360563035
"PIPO_spring_n_7",55,0.00894000223508263,0.00305910078628342,0.00913770911030284,0.00585702081805667,0.00560967327212329,0.217736440935,0.270840110149616
"PIPO_spring_n_7",60,0.0188980023291363,0.011763266790346,0.0449345129636838,0.509413801481639,0.0387757591759834,3.42509020488565,0.349739046001921
"PIPO_spring_n_7",65,0.0892405373447419,0.0387542598940301,0.257908354023866,6.89261210434967,0.15984137128563,90.3455493265888,0.382599923819215
"PIPO_spring_n_8",45,0.000227192405924336,0.000108384132146296,0.000721292915942448,0.000628029144183424,1.43558538258065e-05,0.0096918194679563,0.369445930920769
