"pT","cT","temperature","nrmse","bootVar"
0.000442979466249662,0.00014174741629268,45,0.281620538648421,"PIPO_spring_o_1"
0.00383450796280291,0.000628029144183424,50,0.30970318089203,"PIPO_spring_o_1"
0.00894000223508263,0.00278255940220712,55,0.27936684247362,"PIPO_spring_o_1"
0.0266991095110662,0.0123284673944206,60,0.442457052513831,"PIPO_spring_o_1"
0.0542477212254944,0.114975699539774,65,0.318890597137074,"PIPO_spring_o_1"
0.000442979466249662,0.00014174741629268,45,0.281620538648421,"PIPO_spring_o_2"
0.00383450796280291,0.000628029144183424,50,0.294491524427925,"PIPO_spring_o_2"
0.00894000223508263,0.00278255940220712,55,0.285651169107944,"PIPO_spring_o_2"
0.0266991095110662,0.0123284673944206,60,0.430782285460912,"PIPO_spring_o_2"
0.0542477212254944,0.114975699539774,65,0.318890597137074,"PIPO_spring_o_2"
0.000442979466249662,0.00014174741629268,45,0.281620538648421,"PIPO_spring_o_3"
0.00546568208576558,0.000432876128108305,50,0.295237229183385,"PIPO_spring_o_3"
0.00894000223508263,0.00278255940220712,55,0.28716622362246,"PIPO_spring_o_3"
0.0266991095110662,0.0123284673944206,60,0.423421161820508,"PIPO_spring_o_3"
0.0542477212254944,0.114975699539774,65,0.318890597137074,"PIPO_spring_o_3"
0.000442979466249662,0.00014174741629268,45,0.281620538648421,"PIPO_spring_o_4"
0.00383450796280291,0.000628029144183424,50,0.294415937724655,"PIPO_spring_o_4"
0.00894000223508263,0.00278255940220712,55,0.272668110914976,"PIPO_spring_o_4"
0.0266991095110662,0.0123284673944206,60,0.423421161820508,"PIPO_spring_o_4"
0.0542477212254944,0.114975699539774,65,0.327964975434329,"PIPO_spring_o_4"
0.000442979466249662,0.00014174741629268,45,0.281620538648421,"PIPO_spring_o_5"
0.00383450796280291,0.000628029144183424,50,0.309656318210175,"PIPO_spring_o_5"
0.00779074680570552,0.00278255940220712,55,0.282557815747697,"PIPO_spring_o_5"
0.0266991095110662,0.0123284673944206,60,0.423421161820508,"PIPO_spring_o_5"
0.0542477212254944,0.114975699539774,65,0.318890597137074,"PIPO_spring_o_5"
0.000442979466249662,0.00014174741629268,45,0.281620538648421,"PIPO_spring_o_6"
0.00383450796280291,0.000628029144183424,50,0.29562298406636,"PIPO_spring_o_6"
0.00894000223508263,0.00278255940220712,55,0.27936684247362,"PIPO_spring_o_6"
0.0266991095110662,0.0123284673944206,60,0.423421161820508,"PIPO_spring_o_6"
0.0542477212254944,0.114975699539774,65,0.344181446020643,"PIPO_spring_o_6"
0.000442979466249662,0.00014174741629268,45,0.281620538648421,"PIPO_spring_o_7"
0.00383450796280291,0.000628029144183424,50,0.294415937724655,"PIPO_spring_o_7"
0.00894000223508263,0.00278255940220712,55,0.288495002286446,"PIPO_spring_o_7"
0.0266991095110662,0.0123284673944206,60,0.423421161820508,"PIPO_spring_o_7"
0.0542477212254944,0.114975699539774,65,0.318890597137074,"PIPO_spring_o_7"
0.000618555236633261,9.77009957299226e-05,45,0.264556554085131,"PIPO_spring_o_8"
0.00383450796280291,0.000628029144183424,50,0.22092066959535,"PIPO_spring_o_8"
0.00894000223508263,0.00278255940220712,55,0.27936684247362,"PIPO_spring_o_8"
0.0266991095110662,0.0123284673944206,60,0.423421161820508,"PIPO_spring_o_8"
0.0542477212254944,0.114975699539774,65,0.318890597137074,"PIPO_spring_o_8"
0.000442979466249662,0.00014174741629268,45,0.324092359687782,"PIPO_spring_o_9"
0.00457801283091442,0.000628029144183424,50,0.295286093591259,"PIPO_spring_o_9"
0.00894000223508263,0.00278255940220712,55,0.27936684247362,"PIPO_spring_o_9"
0.0266991095110662,0.0123284673944206,60,0.423421161820508,"PIPO_spring_o_9"
