"jackVar","temperature","pT","pT.min","pT.max","cT","cT.min","cT.max","nrmse"
"PIPO_allothers_1",45,0.000618555236633261,0.000288158003340551,0.00275119957178298,0.000205651230834865,5.02723062906292e-05,0.000399669880232155,0.397164025908322
"PIPO_allothers_1",50,0.00321175406445116,0.00110432180771131,0.00544481976967858,0.000628029144183424,0.000377241696658756,0.00163410240162293,0.317866291419162
"PIPO_allothers_1",55,0.007790747,0.00352072806386773,0.0129530800900003,0.002782559,0.00239038942142656,0.0079122322640334,0.2914089
"PIPO_allothers_1",60,0.02669911,0.00837571756559399,0.0412961803959159,0.02595024,0.0115741316364453,0.0501358054301294,0.3007544
"PIPO_allothers_1",65,0.03398734,0.0165761412055016,0.158261342935856,0.1668101,0.0473223458641145,0.376217398789615,0.3313159
"PIPO_allothers_2",45,0.0006185552,0.000310735819859304,0.00253885561861386,0.0002056512,5.0272305067483e-05,0.000399669795551395,0.397164
"PIPO_allothers_2",50,0.003211754,0.00115609684131289,0.00510563814404028,0.0006280291,0.000377241691085703,0.0016341021607751,0.3205501
"PIPO_allothers_2",55,0.007790747,0.00362398715857851,0.0121863183449154,0.002782559,0.00239038944552632,0.007912231487068,0.2914089
"PIPO_allothers_2",60,0.0243401,0.00864986118216659,0.0382001400005301,0.02595024,0.011574132322472,0.0501358017530241,0.3338326
"PIPO_allothers_2",65,0.03440533,0.0173948691168326,0.142124140088901,0.1668101,0.0473223517207625,0.376217374792346,0.3316393
"PIPO_allothers_3",45,0.0006185552,0.000305632364762154,0.00260756510876759,0.0002056512,5.0272305067483e-05,0.000399669795551395,0.397164
"PIPO_allothers_3",50,0.003211754,0.00113854775761133,0.00518433424663296,0.0006280291,0.000377241691085703,0.0016341021607751,0.3178663
"PIPO_allothers_3",55,0.007790747,0.00356090267671236,0.0122770460579252,0.002782559,0.00239038944552632,0.007912231487068,0.2947124
"PIPO_allothers_3",60,0.0243401,0.00843259020156341,0.0383974812453239,0.02595024,0.011574132322472,0.0501358017530241,0.3338326
"PIPO_allothers_3",65,0.03354384,0.016765589485299,0.14303906002824,0.1668101,0.0473223517207625,0.376217374792346,0.3216237
"PIPO_allothers_4",45,0.0006185552,0.000310735819859304,0.00253885561861386,0.0002056512,5.0272305067483e-05,0.000399669795551395,0.3969564
"PIPO_allothers_4",50,0.003211754,0.00115609684131289,0.00510563814404028,0.0006280291,0.000377241691085703,0.0016341021607751,0.3178663
"PIPO_allothers_4",55,0.007790747,0.00362398715857851,0.0121863183449154,0.002782559,0.00239038944552632,0.007912231487068,0.2931263
"PIPO_allothers_4",60,0.0243401,0.00864986118216659,0.0382001400005301,0.02595024,0.011574132322472,0.0501358017530241,0.335342
"PIPO_allothers_4",65,0.03440533,0.0173948691168326,0.142124140088901,0.1668101,0.0473223517207625,0.376217374792346,0.3287524
"PIPO_allothers_5",45,0.0006185552,0.000310735819859304,0.00253885561861386,0.0002056512,5.0272305067483e-05,0.000399669795551395,0.397164
"PIPO_allothers_5",50,0.003211754,0.00115609684131289,0.00510563814404028,0.0006280291,0.000377241691085703,0.0016341021607751,0.3178663
"PIPO_allothers_5",55,0.007790747,0.00362398715857851,0.0121863183449154,0.002782559,0.00239038944552632,0.007912231487068,0.288691
"PIPO_allothers_5",60,0.0243401,0.00864986118216659,0.0382001400005301,0.02595024,0.011574132322472,0.0501358017530241,0.337533
"PIPO_allothers_5",65,0.03440533,0.0173948691168326,0.142124140088901,0.1668101,0.0473223517207625,0.376217374792346,0.3287524
"PIPO_allothers_6",45,0.0006185552,0.000305632364762154,0.00260756510876759,0.0002056512,5.0272305067483e-05,0.000399669795551395,0.397164
"PIPO_allothers_6",50,0.003211754,0.00113854775761133,0.00518433424663296,0.0006280291,0.000377241691085703,0.0016341021607751,0.3178663
"PIPO_allothers_6",55,0.007790747,0.00356090267671236,0.0122770460579252,0.002782559,0.00239038944552632,0.007912231487068,0.2939554
"PIPO_allothers_6",60,0.0243401,0.00843259020156341,0.0383974812453239,0.02595024,0.011574132322472,0.0501358017530241,0.3338326
"PIPO_allothers_6",65,0.03354384,0.016765589485299,0.14303906002824,0.1668101,0.0473223517207625,0.376217374792346,0.3320982
"PIPO_allothers_7",45,0.0006185552,0.000308270910220266,0.00257169937235044,0.0002056512,5.0272305067483e-05,0.000399669795551395,0.397164
"PIPO_allothers_7",50,0.003211754,0.00114761905123193,0.00514335495291348,0.0006280291,0.000377241691085703,0.0016341021607751,0.3178663
"PIPO_allothers_7",55,0.007790747,0.0035934783834516,0.0122298382120393,0.002782559,0.00239038944552632,0.007912231487068,0.2904695
"PIPO_allothers_7",60,0.0243401,0.00854455110534017,0.0382946407180131,0.02595024,0.011574132322472,0.0501358017530241,0.3338326
"PIPO_allothers_7",65,0.03398734,0.0170889567111054,0.142561811027425,0.1668101,0.0473223517207625,0.376217374792346,0.3352901
"PIPO_allothers_8",45,0.0006185552,0.000308270910220266,0.00257169937235044,0.0002056512,5.0272305067483e-05,0.000399669795551395,0.397164
"PIPO_allothers_8",50,0.003211754,0.00114761905123193,0.00514335495291348,0.0006280291,0.000377241691085703,0.0016341021607751,0.3178663
"PIPO_allothers_8",55,0.007790747,0.0035934783834516,0.0122298382120393,0.002782559,0.00239038944552632,0.007912231487068,0.2910836
"PIPO_allothers_8",60,0.0243401,0.00854455110534017,0.0382946407180131,0.02595024,0.011574132322472,0.0501358017530241,0.3338326
"PIPO_allothers_8",65,0.03398734,0.0170889567111054,0.142561811027425,0.1668101,0.0473223517207625,0.376217374792346,0.3329013
"PIPO_allothers_9",45,0.0006185552,0.000315876634530144,0.0024723312965178,0.0002056512,5.0272305067483e-05,0.000399669795551395,0.3964695
"PIPO_allothers_9",50,0.003211754,0.00117379064581728,0.00502867538793663,0.0006280291,0.000377241691085703,0.0016341021607751,0.3178663
"PIPO_allothers_9",55,0.007790747,0.00368786648419963,0.0120973190294126,0.002782559,0.00239038944552632,0.007912231487068,0.2914089
"PIPO_allothers_9",60,0.0243401,0.00887177913775558,0.0380078828845822,0.02595024,0.011574132322472,0.0501358017530241,0.3338326
"PIPO_allothers_9",65,0.03528894,0.018045032014956,0.141236459175279,0.1668101,0.0473223517207625,0.376217374792346,0.3294509
"PIPO_allothers_10",45,0.0006185552,0.000310735819859304,0.00253885561861386,0.0002056512,5.0272305067483e-05,0.000399669795551395,0.3930343
"PIPO_allothers_10",50,0.003211754,0.00115609684131289,0.00510563814404028,0.0006280291,0.000377241691085703,0.0016341021607751,0.3178663
"PIPO_allothers_10",55,0.007790747,0.00362398715857851,0.0121863183449154,0.002782559,0.00239038944552632,0.007912231487068,0.2914089
"PIPO_allothers_10",60,0.0243401,0.00864986118216659,0.0382001400005301,0.02595024,0.011574132322472,0.0501358017530241,0.3338326
"PIPO_allothers_10",65,0.03440533,0.0173948691168326,0.142124140088901,0.1668101,0.0473223517207625,0.376217374792346,0.333068
