"pT","cT","temperature","nrmse","jackVar"
0.03440533,0.1668101,65,0.3287524,"PIPO_allothers_19"
0.0006185552,0.0002056512,45,0.3902619,"PIPO_allothers_20"
0.003211754,0.0006280291,50,0.3159868,"PIPO_allothers_20"
0.007790747,0.002782559,55,0.2914089,"PIPO_allothers_20"
0.0243401,0.02595024,60,0.3361007,"PIPO_allothers_20"
0.03440533,0.1668101,65,0.3287524,"PIPO_allothers_20"
0.0006185552,0.0002056512,45,0.397164,"PIPO_allothers_21"
0.003211754,0.0006280291,50,0.3178663,"PIPO_allothers_21"
0.007790747,0.002782559,55,0.2904695,"PIPO_allothers_21"
0.0243401,0.02595024,60,0.3331435,"PIPO_allothers_21"
0.03440533,0.1668101,65,0.3309211,"PIPO_allothers_21"
0.0006185552,0.0002056512,45,0.397164,"PIPO_allothers_22"
0.003211754,0.0006280291,50,0.3205501,"PIPO_allothers_22"
0.007790747,0.002782559,55,0.2914089,"PIPO_allothers_22"
0.0243401,0.02595024,60,0.3386861,"PIPO_allothers_22"
0.03440533,0.1668101,65,0.3287524,"PIPO_allothers_22"
0.0006185552,0.0002056512,45,0.401505,"PIPO_allothers_23"
0.003211754,0.0006280291,50,0.315846,"PIPO_allothers_23"
0.007790747,0.002782559,55,0.2814231,"PIPO_allothers_23"
0.0243401,0.02595024,60,0.3338326,"PIPO_allothers_23"
0.03440533,0.1668101,65,0.3287524,"PIPO_allothers_23"
0.0006185552,0.0002056512,45,0.3991453,"PIPO_allothers_24"
0.003211754,0.0006280291,50,0.3178663,"PIPO_allothers_24"
0.007790747,0.002782559,55,0.2914089,"PIPO_allothers_24"
0.0243401,0.02595024,60,0.3338326,"PIPO_allothers_24"
0.03398734,0.1668101,65,0.3358056,"PIPO_allothers_24"
0.0004429795,0.0002983647,45,0.398841,"PIPO_allothers_25"
0.003211754,0.0006280291,50,0.3178663,"PIPO_allothers_25"
0.007790747,0.002782559,55,0.2914089,"PIPO_allothers_25"
0.0243401,0.02595024,60,0.3358975,"PIPO_allothers_25"
0.03440533,0.1668101,65,0.3287524,"PIPO_allothers_25"
0.0006185552,0.0002056512,45,0.3966652,"PIPO_allothers_26"
0.003211754,0.0006280291,50,0.3178663,"PIPO_allothers_26"
0.007790747,0.002782559,55,0.2914089,"PIPO_allothers_26"
0.0243401,0.02595024,60,0.3331435,"PIPO_allothers_26"
0.03440533,0.1668101,65,0.3285241,"PIPO_allothers_26"
0.0006185552,0.0002056512,45,0.397164,"PIPO_allothers_27"
0.003211754,0.0006280291,50,0.3198211,"PIPO_allothers_27"
0.007790747,0.002782559,55,0.2920211,"PIPO_allothers_27"
0.0243401,0.02595024,60,0.3338326,"PIPO_allothers_27"
0.03398734,0.1668101,65,0.3313159,"PIPO_allothers_27"
0.0006185552,0.0002056512,45,0.401505,"PIPO_allothers_28"
0.003211754,0.0006280291,50,0.3178663,"PIPO_allothers_28"
0.007790747,0.002782559,55,0.2938423,"PIPO_allothers_28"
0.0243401,0.02595024,60,0.3352963,"PIPO_allothers_28"
0.03440533,0.1668101,65,0.3287524,"PIPO_allothers_28"
0.0006185552,0.0002056512,45,0.4014806,"PIPO_allothers_29"
0.003211754,0.0006280291,50,0.3178663,"PIPO_allothers_29"
0.007790747,0.002782559,55,0.2920902,"PIPO_allothers_29"
0.0243401,0.02595024,60,0.3338326,"PIPO_allothers_29"
0.03440533,0.1668101,65,0.3287524,"PIPO_allothers_29"
0.0006185552,0.0002056512,45,0.397164,"PIPO_allothers_30"
0.003211754,0.0006280291,50,0.3221308,"PIPO_allothers_30"
0.007790747,0.002782559,55,0.2914089,"PIPO_allothers_30"
0.0243401,0.02595024,60,0.335694,"PIPO_allothers_30"
0.03440533,0.1668101,65,0.3288564,"PIPO_allothers_30"
0.0006185552,0.0002056512,45,0.3969366,"PIPO_allothers_31"
0.003211754,0.0006280291,50,0.3212092,"PIPO_allothers_31"
0.007790747,0.002782559,55,0.2938683,"PIPO_allothers_31"
0.0243401,0.02595024,60,0.3338326,"PIPO_allothers_31"
0.03440533,0.1668101,65,0.3287524,"PIPO_allothers_31"
0.0006185552,0.0002056512,45,0.397164,"PIPO_allothers_32"
0.003211754,0.0006280291,50,0.3203356,"PIPO_allothers_32"
0.007790747,0.002782559,55,0.2882138,"PIPO_allothers_32"
0.0243401,0.02595024,60,0.3338326,"PIPO_allothers_32"
0.03440533,0.1668101,65,0.3287524,"PIPO_allothers_32"
0.0006185552,0.0002056512,45,0.397164,"PIPO_allothers_33"
0.003211754,0.0006280291,50,0.3178663,"PIPO_allothers_33"
0.007790747,0.002782559,55,0.2914089,"PIPO_allothers_33"
0.0243401,0.02595024,60,0.335342,"PIPO_allothers_33"
0.03398734,0.1668101,65,0.3336094,"PIPO_allothers_33"
0.0006185552,0.0002056512,45,0.397164,"PIPO_allothers_34"
0.003211754,0.0006280291,50,0.3159769,"PIPO_allothers_34"
0.007790747,0.002782559,55,0.293609,"PIPO_allothers_34"
0.0243401,0.02595024,60,0.3338326,"PIPO_allothers_34"
0.03440533,0.1668101,65,0.3287524,"PIPO_allothers_34"
0.0006185552,0.0002056512,45,0.4015338,"PIPO_allothers_35"
0.003211754,0.0006280291,50,0.3178663,"PIPO_allothers_35"
0.007790747,0.002782559,55,0.2915788,"PIPO_allothers_35"
0.0243401,0.02595024,60,0.3338326,"PIPO_allothers_35"
0.03398734,0.1668101,65,0.3337431,"PIPO_allothers_35"
0.0006185552,0.0002056512,45,0.4014201,"PIPO_allothers_36"
0.003211754,0.0006280291,50,0.3178663,"PIPO_allothers_36"
0.007790747,0.002782559,55,0.2938626,"PIPO_allothers_36"
0.0243401,0.02595024,60,0.3338326,"PIPO_allothers_36"
0.03440533,0.1668101,65,0.3287524,"PIPO_allothers_36"
0.0006185552,0.0002056512,45,0.397164,"PIPO_allothers_37"
0.003211754,0.0006280291,50,0.3178663,"PIPO_allothers_37"
0.007790747,0.002782559,55,0.2914089,"PIPO_allothers_37"
0.0243401,0.02595024,60,0.3374092,"PIPO_allothers_37"
0.03398734,0.1668101,65,0.3267826,"PIPO_allothers_37"
0.0006185552,0.0002056512,45,0.3951083,"PIPO_allothers_38"
0.003211754,0.0006280291,50,0.3178663,"PIPO_allothers_38"
0.007790747,0.002782559,55,0.2914089,"PIPO_allothers_38"
0.0243401,0.02595024,60,0.3353312,"PIPO_allothers_38"
0.03440533,0.1668101,65,0.3317715,"PIPO_allothers_38"
0.0006185552,0.0002056512,45,0.397164,"PIPO_allothers_39"
0.003211754,0.0006280291,50,0.3178663,"PIPO_allothers_39"
0.007790747,0.002782559,55,0.2914089,"PIPO_allothers_39"
0.0243401,0.02595024,60,0.3360543,"PIPO_allothers_39"
0.03619524,0.1668101,65,0.3125001,"PIPO_allothers_39"
0.0006185552,0.0002056512,45,0.4023988,"PIPO_allothers_40"
0.003211754,0.0006280291,50,0.3178663,"PIPO_allothers_40"
0.007790747,0.002782559,55,0.2914089,"PIPO_allothers_40"
0.0243401,0.02595024,60,0.3372951,"PIPO_allothers_40"
0.03440533,0.1668101,65,0.3319967,"PIPO_allothers_40"
0.0006185552,0.0002056512,45,0.397164,"PIPO_allothers_41"
0.003211754,0.0006280291,50,0.3221338,"PIPO_allothers_41"
0.007790747,0.002782559,55,0.2920902,"PIPO_allothers_41"
0.0243401,0.02595024,60,0.3377522,"PIPO_allothers_41"
0.03440533,0.1668101,65,0.3287524,"PIPO_allothers_41"
0.0006185552,0.0002056512,45,0.4061163,"PIPO_allothers_42"
0.003211754,0.0006280291,50,0.3098748,"PIPO_allothers_42"
0.007790747,0.002782559,55,0.2914089,"PIPO_allothers_42"
0.0243401,0.02595024,60,0.3338326,"PIPO_allothers_42"
0.03440533,0.1668101,65,0.3287524,"PIPO_allothers_42"
0.0006185552,0.0002056512,45,0.397164,"PIPO_allothers_43"
0.003211754,0.0006280291,50,0.3188675,"PIPO_allothers_43"
0.007790747,0.002782559,55,0.2914089,"PIPO_allothers_43"
0.0243401,0.02595024,60,0.3389975,"PIPO_allothers_43"
0.03440533,0.1668101,65,0.3287524,"PIPO_allothers_43"
0.0006185552,0.0002056512,45,0.387815,"PIPO_allothers_44"
0.003211754,0.0006280291,50,0.3178976,"PIPO_allothers_44"
0.007790747,0.002782559,55,0.2879803,"PIPO_allothers_44"
0.0243401,0.02595024,60,0.3338326,"PIPO_allothers_44"
0.03440533,0.1668101,65,0.3287524,"PIPO_allothers_44"
0.0006185552,0.0002056512,45,0.397164,"PIPO_allothers_45"
0.002351571,0.0009111628,50,0.3195139,"PIPO_allothers_45"
0.007790747,0.002782559,55,0.2914089,"PIPO_allothers_45"
0.0243401,0.02595024,60,0.3338326,"PIPO_allothers_45"
0.03398734,0.1668101,65,0.3328648,"PIPO_allothers_45"
0.0006185552,0.0002056512,45,0.3951083,"PIPO_allothers_46"
0.003211754,0.0006280291,50,0.318865,"PIPO_allothers_46"
0.007790747,0.002782559,55,0.2914089,"PIPO_allothers_46"
0.0243401,0.02595024,60,0.3362027,"PIPO_allothers_46"
0.03440533,0.1668101,65,0.3287524,"PIPO_allothers_46"
0.0006185552,0.0002056512,45,0.397164,"PIPO_allothers_47"
0.003211754,0.0006280291,50,0.3178663,"PIPO_allothers_47"
0.007790747,0.002782559,55,0.292927,"PIPO_allothers_47"
0.0243401,0.02595024,60,0.3338326,"PIPO_allothers_47"
0.03440533,0.1668101,65,0.3313817,"PIPO_allothers_47"
0.0006185552,0.0002056512,45,0.3929691,"PIPO_allothers_48"
0.003211754,0.0006280291,50,0.3256456,"PIPO_allothers_48"
0.007790747,0.002782559,55,0.2914089,"PIPO_allothers_48"
0.0243401,0.02595024,60,0.3338326,"PIPO_allothers_48"
0.03440533,0.1668101,65,0.3287524,"PIPO_allothers_48"
0.0004429795,0.0002983647,45,0.407516,"PIPO_allothers_49"
0.003211754,0.0006280291,50,0.3178663,"PIPO_allothers_49"
0.007790747,0.002782559,55,0.2922005,"PIPO_allothers_49"
0.0243401,0.02595024,60,0.3338326,"PIPO_allothers_49"
0.03398734,0.1668101,65,0.3310904,"PIPO_allothers_49"
0.0006185552,0.0002056512,45,0.397164,"PIPO_allothers_50"
0.003211754,0.0006280291,50,0.3178663,"PIPO_allothers_50"
0.007790747,0.002782559,55,0.2972272,"PIPO_allothers_50"
0.0243401,0.02595024,60,0.3338326,"PIPO_allothers_50"
0.03440533,0.1668101,65,0.3287524,"PIPO_allothers_50"
0.0006185552,0.0002056512,45,0.397164,"PIPO_allothers_51"
0.003211754,0.0006280291,50,0.3178663,"PIPO_allothers_51"
0.007790747,0.002782559,55,0.2914089,"PIPO_allothers_51"
0.0243401,0.02595024,60,0.3354737,"PIPO_allothers_51"
0.03440533,0.1668101,65,0.3252315,"PIPO_allothers_51"
0.0004429795,0.0002983647,45,0.4015124,"PIPO_allothers_52"
0.003211754,0.0006280291,50,0.3178663,"PIPO_allothers_52"
0.007790747,0.002782559,55,0.2938888,"PIPO_allothers_52"
0.0243401,0.02595024,60,0.3338326,"PIPO_allothers_52"
0.03440533,0.1668101,65,0.3287524,"PIPO_allothers_52"
0.0006185552,0.0002056512,45,0.397164,"PIPO_allothers_53"
0.003211754,0.0006280291,50,0.3178663,"PIPO_allothers_53"
0.007790747,0.002782559,55,0.2882138,"PIPO_allothers_53"
0.0243401,0.02595024,60,0.3372951,"PIPO_allothers_53"
0.03440533,0.1668101,65,0.3317715,"PIPO_allothers_53"
0.0006185552,0.0002056512,45,0.387815,"PIPO_allothers_54"
0.002351571,0.0009111628,50,0.3195139,"PIPO_allothers_54"
0.007790747,0.002782559,55,0.2914089,"PIPO_allothers_54"
0.0243401,0.02595024,60,0.3338326,"PIPO_allothers_54"
0.03440533,0.1668101,65,0.3249868,"PIPO_allothers_54"
0.0006185552,0.0002056512,45,0.398878,"PIPO_allothers_55"
0.003211754,0.0006280291,50,0.3178663,"PIPO_allothers_55"
0.007790747,0.002782559,55,0.2938423,"PIPO_allothers_55"
0.0243401,0.02595024,60,0.3338326,"PIPO_allothers_55"
0.03440533,0.1668101,65,0.3287524,"PIPO_allothers_55"
0.0006185552,0.0002056512,45,0.3940502,"PIPO_allothers_56"
0.003211754,0.0006280291,50,0.3171685,"PIPO_allothers_56"
0.007790747,0.002782559,55,0.2914089,"PIPO_allothers_56"
0.0243401,0.02595024,60,0.3338326,"PIPO_allothers_56"
0.03354384,0.1668101,65,0.3310845,"PIPO_allothers_56"
0.0006185552,0.0002056512,45,0.3989751,"PIPO_allothers_57"
0.003211754,0.0006280291,50,0.3178663,"PIPO_allothers_57"
0.007790747,0.002782559,55,0.294098,"PIPO_allothers_57"
0.0243401,0.02595024,60,0.3338326,"PIPO_allothers_57"
0.03440533,0.1668101,65,0.3299646,"PIPO_allothers_57"
0.0006185552,0.0002056512,45,0.397164,"PIPO_allothers_58"
0.003211754,0.0006280291,50,0.3178663,"PIPO_allothers_58"
0.007790747,0.002782559,55,0.2892121,"PIPO_allothers_58"
0.0243401,0.02595024,60,0.3352963,"PIPO_allothers_58"
0.03440533,0.1668101,65,0.3313817,"PIPO_allothers_58"
0.0006185552,0.0002056512,45,0.397164,"PIPO_allothers_59"
0.003211754,0.0006280291,50,0.316095,"PIPO_allothers_59"
0.007790747,0.002782559,55,0.2914089,"PIPO_allothers_59"
0.0243401,0.02595024,60,0.3338326,"PIPO_allothers_59"
0.03440533,0.1668101,65,0.3317929,"PIPO_allothers_59"
0.0006185552,0.0002056512,45,0.4024568,"PIPO_allothers_60"
0.003211754,0.0006280291,50,0.3178663,"PIPO_allothers_60"
0.007790747,0.002782559,55,0.290204,"PIPO_allothers_60"
0.0243401,0.02595024,60,0.3338326,"PIPO_allothers_60"
0.03440533,0.1668101,65,0.3316277,"PIPO_allothers_60"
0.0006185552,0.0002056512,45,0.397164,"PIPO_allothers_61"
0.003211754,0.0006280291,50,0.3178663,"PIPO_allothers_61"
0.007790747,0.002782559,55,0.288132,"PIPO_allothers_61"
0.0243401,0.02595024,60,0.3397418,"PIPO_allothers_61"
0.03440533,0.1668101,65,0.3287524,"PIPO_allothers_61"
0.0006185552,0.0002056512,45,0.397164,"PIPO_allothers_62"
0.003211754,0.0006280291,50,0.3220867,"PIPO_allothers_62"
0.007790747,0.002782559,55,0.277381,"PIPO_allothers_62"
0.0243401,0.02595024,60,0.3352302,"PIPO_allothers_62"
0.03440533,0.1668101,65,0.3287524,"PIPO_allothers_62"
