"bootVar","temperature","pT","pT.min","pT.max","cT","cT.min","cT.max","nrmse"
"PIPO_spring_o_1",45,0.000442979466249662,0.000207372782980495,0.00258617985764039,0.00014174741629268,5.8686604663761e-05,0.000254213371075378,0.281620538648421
"PIPO_spring_o_1",50,0.00383450796280291,0.000953063659038919,0.00567603623365192,0.000628029144183424,0.000374013007464724,0.00105456387364005,0.30970318089203
"PIPO_spring_o_1",55,0.00894000223508263,0.00356533823723645,0.0153046330193115,0.00278255940220712,0.00211496492540851,0.00493036019806504,0.27936684247362
"PIPO_spring_o_1",60,0.0266991095110662,0.00961343287188908,0.0572534612909783,0.0123284673944206,0.0098880107210053,0.027880150370228,0.442457052513831
"PIPO_spring_o_1",65,0.0542477212254944,0.0210991486726714,0.263130930329248,0.114975699539774,0.0410188450923212,0.177681754606204,0.318890597137074
"PIPO_spring_o_2",45,0.000442979466249662,0.000207372782980495,0.00258617985764039,0.00014174741629268,5.8686604663761e-05,0.000254213371075378,0.281620538648421
"PIPO_spring_o_2",50,0.00383450796280291,0.000953063659038919,0.00567603623365192,0.000628029144183424,0.000374013007464724,0.00105456387364005,0.294491524427925
"PIPO_spring_o_2",55,0.00894000223508263,0.00356533823723645,0.0153046330193115,0.00278255940220712,0.00211496492540851,0.00493036019806504,0.285651169107944
"PIPO_spring_o_2",60,0.0266991095110662,0.00961343287188908,0.0572534612909783,0.0123284673944206,0.0098880107210053,0.027880150370228,0.430782285460912
"PIPO_spring_o_2",65,0.0542477212254944,0.0210991486726714,0.263130930329248,0.114975699539774,0.0410188450923212,0.177681754606204,0.318890597137074
"PIPO_spring_o_3",45,0.000442979466249662,0.000164955235586294,0.00431710046169758,0.00014174741629268,4.37077365034687e-05,0.000253446400826954,0.281620538648421
"PIPO_spring_o_3",50,0.00546568208576558,0.000815617891565226,0.00820429294441962,0.000432876128108305,0.000301729528027504,0.00104561567586104,0.295237229183385
"PIPO_spring_o_3",55,0.00894000223508263,0.0030899940789619,0.0203488513518968,0.00278255940220712,0.00180473698230385,0.00497876279633768,0.28716622362246
"PIPO_spring_o_3",60,0.0266991095110662,0.00766401573139888,0.0770922644553202,0.0123284673944206,0.00859336518388538,0.0297795094945101,0.423421161820508
"PIPO_spring_o_3",65,0.0542477212254944,0.0145648290441478,0.381181172986434,0.114975699539774,0.0354526926219955,0.205578189663425,0.318890597137074
"PIPO_spring_o_4",45,0.000442979466249662,0.000207372782980495,0.00258617985764039,0.00014174741629268,5.8686604663761e-05,0.000254213371075378,0.281620538648421
"PIPO_spring_o_4",50,0.00383450796280291,0.000953063659038919,0.00567603623365192,0.000628029144183424,0.000374013007464724,0.00105456387364005,0.294415937724655
"PIPO_spring_o_4",55,0.00894000223508263,0.00356533823723645,0.0153046330193115,0.00278255940220712,0.00211496492540851,0.00493036019806504,0.272668110914976
"PIPO_spring_o_4",60,0.0266991095110662,0.00961343287188908,0.0572534612909783,0.0123284673944206,0.0098880107210053,0.027880150370228,0.423421161820508
"PIPO_spring_o_4",65,0.0542477212254944,0.0210991486726714,0.263130930329248,0.114975699539774,0.0410188450923212,0.177681754606204,0.327964975434329
"PIPO_spring_o_5",45,0.000442979466249662,0.000209229510891556,0.00242596273971275,0.00014174741629268,5.8686604663761e-05,0.000254213371075378,0.281620538648421
