"groupVar","duration","LD50","accuracy","species","season","age","plotVar"
"PIPO_spring_n",63,57.9999999999999,0.0165820250071746,"PIPO","spring","n","spring_n"
"PIPO_spring_n",64,57.94,0.0390792979185548,"PIPO","spring","n","spring_n"
"PIPO_spring_n",65,57.8899999999999,0.00122140694595174,"PIPO","spring","n","spring_n"
"PIPO_spring_n",66,57.83,0.0723620425649116,"PIPO","spring","n","spring_n"
"PIPO_spring_n",67,57.7799999999947,0.0493445972378197,"PIPO","spring","n","spring_n"
"PIPO_spring_n",68,57.73,0.0345669072909089,"PIPO","spring","n","spring_n"
"PIPO_spring_n",69,57.69,0.0775997049933039,"PIPO","spring","n","spring_n"
"PIPO_spring_n",70,57.64,0.0766307110736477,"PIPO","spring","n","spring_n"
"PIPO_spring_n",71,57.58,0.0374784006748143,"PIPO","spring","n","spring_n"
"PIPO_spring_n",72,57.54,0.0520962052952854,"PIPO","spring","n","spring_n"
"PIPO_spring_n",73,57.49,0.028922251302312,"PIPO","spring","n","spring_n"
"PIPO_spring_n",74,57.44,0.00127367430257408,"PIPO","spring","n","spring_n"
"PIPO_spring_n",75,57.4,0.0675062822084129,"PIPO","spring","n","spring_n"
"PIPO_spring_n",76,57.34,0.0820238385781025,"PIPO","spring","n","spring_n"
"PIPO_spring_n",77,57.3,0.0263340245739272,"PIPO","spring","n","spring_n"
"PIPO_spring_n",78,57.2599999999976,0.0231430206330572,"PIPO","spring","n","spring_n"
"PIPO_spring_n",79,57.21,0.0395394901328032,"PIPO","spring","n","spring_n"
"PIPO_spring_n",80,57.17,0.00214781669895103,"PIPO","spring","n","spring_n"
"PIPO_spring_n",81,57.1299999999952,0.0294523034830831,"PIPO","spring","n","spring_n"
"PIPO_spring_n",82,57.09,0.0553909663518652,"PIPO","spring","n","spring_n"
"PIPO_spring_n",83,57.03,0.136872955416379,"PIPO","spring","n","spring_n"
"PIPO_spring_n",84,57.02,0.197272958866826,"PIPO","spring","n","spring_n"
"PIPO_spring_n",85,56.96,0.00602703785198599,"PIPO","spring","n","spring_n"
"PIPO_spring_n",86,56.92,0.00158117364917842,"PIPO","spring","n","spring_n"
"PIPO_spring_n",87,56.88,0.00220254816096599,"PIPO","spring","n","spring_n"
"PIPO_spring_n",88,56.84,0.00778374880079014,"PIPO","spring","n","spring_n"
"PIPO_spring_n",89,56.84,0.409123728692222,"PIPO","spring","n","spring_n"
"PIPO_spring_n",90,56.75,0.140169903560164,"PIPO","spring","n","spring_n"
"PIPO_allothers",1,79.59,0.338111038158615,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",2,76.22,0.216738419035991,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",3,74.2700000000001,0.047400538875074,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",4,72.93,0.0527163350503201,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",5,71.94,0.285982567408276,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",6,71.07,0.0860820768867967,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",7,70.38,0.0248136970564801,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",8,69.7800000000001,0.0337521276687625,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",9,69.28,0.22476302436305,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",10,68.8,0.0995904732941,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",11,68.36,0.0979270766010529,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",12,67.9800000000033,0.0686053309664416,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",13,67.64,0.048387310767545,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",14,67.32,0.0909263730307401,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",15,67.0200000000001,0.0985939321554312,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",16,66.72,0.11716637480751,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",17,66.47,0.0246905550869059,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",18,66.22,0.00676588860027039,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",19,65.95,0.422725752123711,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",20,65.77,0.0414257802313713,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",21,65.58,0.268400398095551,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",22,65.36,0.0346365261333048,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",23,65.14,0.308647739857463,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",24,64.98,0.0526537624381049,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",25,64.7900000000001,0.236492169750221,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",26,64.6399999999999,0.0335914818077896,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",27,64.49,0.0938903972240936,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",28,64.3200000000001,0.0875074529129165,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",29,64.18,0.0211532522186459,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",30,64.04,0.0680626562768154,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",31,63.9,0.0566556483086202,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",32,63.77,0.111017540312474,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",33,63.64,0.113960211635906,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",34,63.51,0.0680996801788041,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",35,63.39,0.0980361976209494,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",36,63.25,0.160526379475492,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",37,63.1500000000001,0.0298082692381314,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",38,63.04,0.0588770445045341,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",39,62.9300000000001,0.0509546247206387,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",40,62.81,0.11634095472408,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",41,62.71,0.0695311046334695,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",42,62.62,0.0701174741631974,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",43,62.52,0.0548950939463282,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",44,62.42,0.0103430771741841,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",45,62.35,0.314376054440167,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",46,62.2299999999999,0.0364000522878314,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",47,62.14,0.0359500107421269,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",48,62.06,0.0663029668256669,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",49,61.97,0.018663828201106,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",50,61.89,0.0750671917312573,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",51,61.8,0.0173556205547243,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",52,61.72,0.00370545299660563,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",53,61.65,0.117466991995457,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",54,61.56,0.0363121981047456,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",55,61.49,0.0468815788143644,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",56,61.41,0.0161848247163832,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",57,61.34,0.0316204612870408,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",58,61.2699999999999,0.0626503070011566,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",59,61.1800000000001,0.180687044062132,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",60,61.12,0.052918570946261,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",61,61.05,0.0695152481860504,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",62,60.9699999999997,0.230642768758806,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",63,60.92,0.0171329789795394,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",64,60.86,0.0530613164023066,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",65,60.7899999999999,0.0203352637913738,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",66,60.7299999999998,0.0233758487642035,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",67,60.6600000000043,0.0761627792417983,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",68,60.6,0.0575531539421803,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",69,60.5499999999999,0.0800770187874633,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",70,60.48,0.0559552874143137,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",71,60.45,0.321747051453649,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",72,60.37,0.0316044080219484,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",73,60.31,0.00658684661397757,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",74,60.26,0.076488394446578,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",75,60.1999999999999,0.0175501573679639,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",76,60.1499999999999,0.0806917004096448,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",77,60.0899999999999,0.00196565791818415,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",78,60.0399999999926,0.0460789496090896,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",79,60,0.21374074346123,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",80,59.93,0.0256030022889462,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",81,59.88,0.00838230657339523,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",82,59.83,0.000313781529698076,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",83,59.78,0.000667454890752595,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",84,59.7299999999999,0.00714452077860983,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",85,59.68,0.0229505613776766,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
"PIPO_allothers",86,59.64,0.0870284514901272,"PIPO","spring and autumn","n and o","spring and autumn_n and o"
